Hotel_Name,Full_Review,Average_Score
Grange St Paul s Hotel, I liked everything  Hotel was 1st Class,8.5
Grange St Paul s Hotel, Breakfast not included Terrace bar closed  Steam room Bars Everything was perfect,8.5
Grange St Paul s Hotel, Nothing  Comfort location and staff,8.5
Grange St Paul s Hotel, Room was tighter than square footage would imply  Location,8.5
Grange St Paul s Hotel, Jacuzzi in spa was out of order ,8.5
Grange St Paul s Hotel, More information available about restaurents  Liked room facilities in bathroom enjoyed swimming pool etc,8.5
Grange St Paul s Hotel, We had to go home   Very helpful staff nothing was too much trouble Very clean great facilities and got a free upgrade ,8.5
Grange St Paul s Hotel, Already complained to the hotel and booking com and have yet to receive our money back  ,8.5
Grange St Paul s Hotel, poor room service and attitude of staff  location and facilities excellent,8.5
Grange St Paul s Hotel, Expensive  Location Cleanliness In house bars temple and silk Has spa and heated pool Helpful staff,8.5
Grange St Paul s Hotel,  Location Japanese Restaurant,8.5
Grange St Paul s Hotel, The swiming pool Was overcrowded as it s a small size pool   The location of the hotel,8.5
Grange St Paul s Hotel,  Great location peaceful even Lots of extra touches in the room Pleasant staff comfy beds ,8.5
Grange St Paul s Hotel, Mobile network connectivity problem faced House keeping needs improvement   It s location is good,8.5
Grange St Paul s Hotel, Nothing  Excellent location facilities and staff,8.5
Grange St Paul s Hotel,  Fabulous location great rooms and good value for money,8.5
Grange St Paul s Hotel, Didn t like the look of breakfast  The whole set up,8.5
Grange St Paul s Hotel, Nothing much  The location,8.5
Grange St Paul s Hotel, Booked as Professor and all paperwork said Mr I am definitely a woman   Great festive spirit,8.5
Grange St Paul s Hotel,  Location and the hotel was lovely ,8.5
Grange St Paul s Hotel, Docking station might need updating to lightning capnability  Friendly staff lovely room air con was perfect,8.5
Grange St Paul s Hotel, Got lost quite a bit poorly signposted even the staff didn t know where some things were  The spacious rooms and great location,8.5
Grange St Paul s Hotel,  Location room,8.5
Grange St Paul s Hotel,  All staff were helpful and friendly nothing was too much trouble perfect,8.5
Grange St Paul s Hotel, the receptionist attitude  location facilites swimming pool,8.5
Grange St Paul s Hotel,  everything had a lovely time everything we hoped and expected,8.5
Grange St Paul s Hotel, Price  Expensive but very good,8.5
Grange St Paul s Hotel, Small room  Nice hotel but not 5 in my opinion ,8.5
Grange St Paul s Hotel, The staff were not interested in guests unless they were attending a corporate function  ,8.5
Grange St Paul s Hotel, Nothing  Staff were very friendly and helpful Rooms spotlessly clean good size and very comfortable ,8.5
Grange St Paul s Hotel, Room was on the small side I couldn t get the plug out of the bath to run the water away   Location Quick check in and courteous staff ,8.5
Grange St Paul s Hotel,  Location was perfect ,8.5
Grange St Paul s Hotel, walk outside to room decor outside room is poor Radio Alarm not working and staff had very poor english  ,8.5
Grange St Paul s Hotel,  The room was really comfortable the location was fabulous The foyer bar area was spacious and had a relaxing atmosphere ,8.5
Grange St Paul s Hotel, Beer prices but suppose expected in 5 hotel in London  Really good hotel Ideal spot for reason we came London,8.5
Grange St Paul s Hotel, difficult to manage air con in windowless room  Superb location close to St Pauls comfortable bed good shower,8.5
Grange St Paul s Hotel, No  Excellent service All personnel very friendly and available to help,8.5
Grange St Paul s Hotel, Overpriced and or the same standard as a Premier Inn Shocking service and extremely disappointing   The location was great,8.5
Grange St Paul s Hotel,  Fantastic location with excellent views over London from the roof garden Outstanding staff ,8.5
Grange St Paul s Hotel, Difficult to open the window for fresh air   Really hot water for bath Towels very soft Bed enormous ,8.5
